net,length_um
_0505_,1451.575
_0402_,1438.48
_0517_,1434.2
_0198_,1415.64
_0396_,1405.975
_0513_,1384.455
_0404_,1375.9
net7,1363.66
net4,1358.92
_0506_,1358.42
_0231_,1354.555
_0347_,1337.14
net12,1326.12
_0320_,1324.68
_0140_,1308.12
net14,1301.58
net1,1301.28
_0322_,1287.905
_0520_,1275.79
_0349_,1269.82
net13,1269.3
_0515_,1268.52
net25,1268.26
_0196_,1266.55
_0510_,1262.19
_0328_,1256.72
_0194_,1235.65
net22,1234.64
_0400_,1233.27
_0524_,1196.395
net19,1195.74
_0192_,1192.68
_0324_,1192.05
_0190_,1176.19
_0509_,1172.65
_0504_,1154.685
net8,1150.46
_0199_,1139.12
Module2.RegisterFile\[14\]\[2\],1138.85
_0204_,1118.735
_0511_,1117.015
_0189_,1095.51
_0503_,1091.78
net11,1083.18
_0340_,1080.4
_0315_,1070.15
_0202_,1067.305
_0507_,1064.24
net6,1061.64
_0205_,1052.835
_0314_,1046.87
_0345_,1045.16
net27,1042.295
_0191_,1039.23
net29,1035.64
_0529_,1035.06
_0364_,1032.38
net3,1028.66
_0193_,1025.48
_0142_,1019.66
Module2.RegisterFile\[8\]\[2\],1013.92
net5,1012.61
_0458_,994.78
_0488_,991.8
net21,983.8
A2[1],982.42
_0442_,974.55
_0342_,966.995
Module2.RegisterFile\[21\]\[3\],962.75
_0417_,957.46
net17,954.86
Module2.RegisterFile\[6\]\[1\],953.45
net15,948
net10,930.14
_0498_,927.98
Module2.RegisterFile\[4\]\[3\],926.99
_0406_,925.26
_0195_,909.22
Module2.RegisterFile\[5\]\[0\],905.74
_0397_,891.36
_0178_,883.88
net9,877.42
net18,856.24
net23,853.67
Module2.RegisterFile\[5\]\[3\],851.63
_0493_,850.1
Module2.RegisterFile\[1\]\[3\],849.63
Module2.RegisterFile\[26\]\[2\],844.9
Module2.RegisterFile\[13\]\[0\],844.02
net24,842.46
Module2.RegisterFile\[26\]\[0\],839.33
_0318_,836.41
_0141_,834.09
Module2.RegisterFile\[13\]\[1\],832.68
Module2.RegisterFile\[18\]\[0\],832.2
_0391_,825.15
_0067_,824.7
_0210_,822.78
Module2.RegisterFile\[26\]\[3\],816.54
_0329_,813.04
Module2.RegisterFile\[10\]\[3\],808.16
Module2.RegisterFile\[22\]\[3\],798.05
Module2.RegisterFile\[28\]\[0\],795.38
Module2.RegisterFile\[6\]\[2\],794.48
